,company_name,paper_url,authors,title,description,excluded_tags,author_name,exclusion_reason
897,Bank of America,/citations?view_op=view_citation&hl=en&user=AjY4jQ8AAAAJ&sortby=pubdate&citation_for_view=AjY4jQ8AAAAJ:WF5omc3nYNoC,,multicomputer system with machine learning engine for query optimization and dynamic data reorganization,"Systems for dynamic data reorganization and query optimization are provided. In some aspects, a database query may be received and evaluated to determine whether it meets one or more criteria. If the database query meets the one or more criteria, the query may be executed and the output of the executed database may be transmitted to the user device. If the database query does not meet the one or more criteria, data associated with the database query may be dynamically modified and/or reorganized (eg, using machine learning). Modified data may be generated based on the dynamically modified and/or reorganized data. The modified data may be stored in an optimized query cache. An updated query may be generated based on the modified data and stored in the optimized query cache. The updated query may be executed and an output of the executed updated query may be transmitted to the user device.",,Rama Venkata S. Kavali,"['is_patent', 'no_authors']"
898,Bank of America,/citations?view_op=view_citation&hl=en&user=AjY4jQ8AAAAJ&sortby=pubdate&citation_for_view=AjY4jQ8AAAAJ:Y0pCki6q_DkC,,"systems and methods for evaluating, validating, correcting, and loading data feeds based on artificial intelligence input","Systems, computer program products, and methods are described herein for evaluating, validating, correcting, and loading data feeds based on artificial intelligence input. The present invention may be configured to receive a data feed from a source for loading to a target data structure, analyze, based on historical feed data, metadata of the data feed to determine a likelihood of the data feed failing to load, and determine whether the likelihood of the data feed failing to load satisfies a threshold. The present invention may be configured to load the data feed to the target data structure, determine, after loading the data feed to the target data structure, whether the data feed failed to load, and either correct errors in the data feed or add error-containing portions of the data feed to a failed data log.",,Rama Venkata S. Kavali,"['is_patent', 'no_authors']"
899,Bank of America,/citations?view_op=view_citation&hl=en&user=AjY4jQ8AAAAJ&sortby=pubdate&citation_for_view=AjY4jQ8AAAAJ:qjMakFHDy7sC,,data flow control and routing using machine learning,(57) ABSTRACT A device configured to identify a first link between a value of a first data element in a first plurality of data elements and values of a first set of data elements in a second plurality of data elements and to remove the first link between the first data element and the first set of data elements. The device is further configured to input the data elements into a machine learning model that is configured to output a second link between the first data element and a second set of data elements. The device is further configured to create an entry in a relationship table that identifies the first data element and the second set of data elements. The device is further configured to generate a data stream with the first data element and the second set of data elements and to output the data stream.,,Rama Venkata S. Kavali,"['is_patent', 'no_authors']"
900,Bank of America,/citations?view_op=view_citation&hl=en&user=CRONTJsAAAAJ&sortby=pubdate&citation_for_view=CRONTJsAAAAJ:zYLM7Y9cAGgC,"Vu A Huynh, Maokai Lin, Joongwoo Brian Park, Chuan Shi",mixed integer nonlinear programming for material supply management,"In this paper, we present the material supply optimization for a factory using mixed integer nonlinear programming. Our goal is to minimize the labor force for the factory under production rate constraints. Due to the lack of powerful solvers, we introduce a sub-optimization problem with a simplified model in which the number of labors is fixed, instead of considering the number of labors as a decision variable. We solve our model by the MINLP solver and verify our results using 3D simulation. Obtained results show that we reduce the labor force by 22.5%, and thus, save $23,760 per month in labor cost for the factory.",,Joongwoo Brian Park,"['no_tags', 'no_publication_date']"
901,Bank of America,/citations?view_op=view_citation&hl=en&user=EqG7LqEAAAAJ&sortby=pubdate&citation_for_view=EqG7LqEAAAAJ:2osOgNQ5qMEC,"G Sadaram, LM Karaka, SR Maka, M Sakuru, SB Boppana, N Katnapally",ai-powered cyber threat detection: leveraging machine learning for real-time anomaly identification and threat mitigation,,,Gangadhar Sadaram,['no_tags']
902,Bank of America,/citations?view_op=view_citation&hl=en&user=QHrcEtEAAAAJ&sortby=pubdate&citation_for_view=QHrcEtEAAAAJ:YsMSGLbcyi4C,,"integration of ai, ml, and iot in healthcare data fusion: integrating data from various sources, including iot devices and electronic health records, provides a more …",,,Chinna Babu Mupparaju,"['no_tags', 'no_authors', 'no_publication_date']"
904,Bank of America,/citations?view_op=view_citation&hl=en&user=QHrcEtEAAAAJ&sortby=pubdate&citation_for_view=QHrcEtEAAAAJ:d1gkVwhDpl0C,,chaog-gru: healthcare transaction fraud detection using chaotic iterative gazelle-based gated recurrent unit technique,,,Chinna Babu Mupparaju,"['no_tags', 'no_authors', 'no_publication_date']"
905,Bank of America,/citations?view_op=view_citation&hl=en&user=QHrcEtEAAAAJ&sortby=pubdate&citation_for_view=QHrcEtEAAAAJ:qjMakFHDy7sC,,autonomous health monitoring and assistance systems using iot,,,Chinna Babu Mupparaju,"['no_tags', 'no_authors', 'no_publication_date']"
906,Bank of America,/citations?view_op=view_citation&hl=en&user=QHrcEtEAAAAJ&sortby=pubdate&citation_for_view=QHrcEtEAAAAJ:u-x6o8ySG0sC,,human-ai collaboration in healthcare studying the impact of ai on healthcare professionals decision-making processes,,,Chinna Babu Mupparaju,"['no_tags', 'no_authors', 'no_publication_date']"
907,Bank of America,/citations?view_op=view_citation&hl=en&user=QHrcEtEAAAAJ&sortby=pubdate&citation_for_view=QHrcEtEAAAAJ:zYLM7Y9cAGgC,,analyzing the impact of deep learning approaches on real-time data analysis in machine learning,,,Chinna Babu Mupparaju,"['no_tags', 'no_authors', 'no_publication_date']"
908,Bank of America,/citations?view_op=view_citation&hl=en&user=VmBq0e8AAAAJ&sortby=pubdate&citation_for_view=VmBq0e8AAAAJ:0EnyYjriUFMC,"Abhishek Das, Archit Joshi, Indra Reddy Mallela, Dr Satendra Pal Singh, Shalu Jain, Om Goel",enhancing data privacy in machine learning with automated compliance tools,,,Indra Reddy Mallela,['no_tags']
909,Bank of America,/citations?view_op=view_citation&hl=en&user=VmBq0e8AAAAJ&sortby=pubdate&citation_for_view=VmBq0e8AAAAJ:8k81kl-MbHgC,"Indra Reddy Mallela, Nanda Kishore Gannamneni, Bipin Gajbhiye, Raghav Agarwal, Shalu Jain, Pandi Kirupa Gopalakrishna",fraud detection in credit/debit card transactions using ml and nlp,,,Indra Reddy Mallela,['no_tags']
910,Bank of America,/citations?view_op=view_citation&hl=en&user=VmBq0e8AAAAJ&sortby=pubdate&citation_for_view=VmBq0e8AAAAJ:IjCSPb-OGe4C,"Indra Reddy Mallela, Satish Vadlamani, Ashish Kumar, Om Goel, Pandi Kirupa Gopalakrishna, Raghav Agarwal",deep learning techniques for ofac sanction screening models,,,Indra Reddy Mallela,['no_tags']
911,Bank of America,/citations?view_op=view_citation&hl=en&user=VmBq0e8AAAAJ&sortby=pubdate&citation_for_view=VmBq0e8AAAAJ:hqOjcs7Dif8C,"Indra Reddy Mallela, Krishna Kishor Tirupati, Pronoy Chopra, Aman Shrivastav, Ojaswin Tharan, Sangeet Vashishtha",the role of machine learning in customer risk rating and monitoring,,,Indra Reddy Mallela,['no_tags']
912,Bank of America,/citations?view_op=view_citation&hl=en&user=VmBq0e8AAAAJ&sortby=pubdate&citation_for_view=VmBq0e8AAAAJ:kNdYIx-mwKoC,"Indra Reddy Mallela, Ravi Kiran Pagidi, Aravind Ayyagari, Punit Goel, Arpit Jain, Satendra Pal Singh",the use of interpretability in machine learning for regulatory compliance,,,Indra Reddy Mallela,['no_tags']
913,Bank of America,/citations?view_op=view_citation&hl=en&user=VmBq0e8AAAAJ&sortby=pubdate&citation_for_view=VmBq0e8AAAAJ:qxL8FJ1GzNcC,"Indra Reddy Mallela, Sneha Aravind, Vishwasrao Salunkhe, Ojaswin Tharan","prof.(dr) punit goel, & dr satendra pal singh.(2020). explainable ai for compliance and regulatory models",,,Indra Reddy Mallela,"['no_tags', 'no_publication_date']"
914,Bank of America,/citations?view_op=view_citation&hl=en&user=b_oxJaAAAAAJ&sortby=pubdate&citation_for_view=b_oxJaAAAAAJ:qjMakFHDy7sC,"Satyanarayan Kanungo, Sarath Ramabhotla, Manoj Bhoyar",the integration of data engineering and cloud computing in the age of machine learning and artificial intelligence,,,Manoj Bhoyar,['no_tags']
915,Bank of America,/citations?view_op=view_citation&hl=en&user=jD8fpGMAAAAJ&sortby=pubdate&citation_for_view=jD8fpGMAAAAJ:-mN3Mh-tlDkC,Satyadhar Joshi,review of data engineering frameworks (trino and kubernetes) for implementing generative ai in financial risk,,,Satyadhar  Joshi,['no_tags']
916,Bank of America,/citations?view_op=view_citation&hl=en&user=jD8fpGMAAAAJ&sortby=pubdate&citation_for_view=jD8fpGMAAAAJ:YlPif8NxrbYC,Satyadhar Joshi,agentic gen ai for financial risk management,,,Satyadhar  Joshi,['no_tags']
917,Bank of America,/citations?view_op=view_citation&hl=en&user=nMd0LAoAAAAJ&sortby=pubdate&citation_for_view=nMd0LAoAAAAJ:8k81kl-MbHgC,"Rongjian Li, Wenlu Zhang, Shuiwang Ji",automated identification of cell-type-specific genes in the mouse brain by image computing of expression patterns,"Differential gene expression patterns in cells of the mammalian brain result in the morphological, connectional, and functional diversity of cells. A wide variety of studies have shown that certain genes are expressed only in specific cell-types. Analysis of cell-type-specific gene expression patterns can provide insights into the relationship between genes, connectivity, brain regions, and cell-types. However, automated methods for identifying cell-type-specific genes are lacking to date. Here, we describe a set of computational methods for identifying cell-type-specific genes in the mouse brain by automated image computing of in situ hybridization (ISH) expression patterns. We applied invariant image feature descriptors to capture local gene expression information from cellular-resolution ISH images. We then built image-level representations by applying vector quantization on the image descriptors. We employed regularized learning methods for classifying genes specifically expressed in different brain cell-types. These methods can also rank image features based on their discriminative power. We used a data set of 2,872 genes from the Allen Brain Atlas in the experiments. Results showed that our methods are predictive of cell-type-specificity of genes. Our classifiers achieved AUC values of approximately 87% when the enrichment level is set to 20. In addition, we showed that the highly-ranked image features captured the relationship between cell-types. Overall, our results showed that automated image computing methods could potentially be used to identify cell-type-specific genes in the mouse brain.",['excluded_keywords'],Rongjian Li,['excluded_tags']
919,Bank of America,/citations?view_op=view_citation&hl=en&user=nMd0LAoAAAAJ&sortby=pubdate&citation_for_view=nMd0LAoAAAAJ:UeHWp8X0CEIC,"Wenlu Zhang, Daming Feng, Rongjian Li, Andrey Chernikov, Nikos Chrisochoides, Christopher Osgood, Charlotte Konikoff, Stuart Newfeld, Sudhir Kumar, Shuiwang Ji",a mesh generation and machine learning framework for drosophila gene expression pattern image analysis," Background Multicellular organisms consist of cells of many different types that are established during development. Each type of cell is characterized by the unique combination of expressed gene products as a result of spatiotemporal gene regulation. Currently, a fundamental challenge in regulatory biology is to elucidate the gene expression controls that generate the complex body plans during development. Recent advances in high-throughput biotechnologies have generated spatiotemporal expression patterns for thousands of genes in the model organism fruit fly Drosophila melanogaster. Existing qualitative methods enhanced by a quantitative analysis based on computational tools we present in this paper would provide promising ways for addressing key scientific questions. Results We develop a set of computational methods and open source …",['excluded_keywords'],Rongjian Li,['excluded_tags']
920,Bank of America,/citations?view_op=view_citation&hl=en&user=u9TQv54AAAAJ&sortby=pubdate&citation_for_view=u9TQv54AAAAJ:Tyk-4Ss8FVUC,GOVINDAIAH SIMUNI,federated learning for cloud-native applications: enhancing data privacy in distributed systems,,,Govindaiah Simuni,['no_tags']
921,Bank of America,/citations?view_op=view_citation&hl=en&user=u9TQv54AAAAJ&sortby=pubdate&citation_for_view=u9TQv54AAAAJ:Wp0gIr-vW9MC,"Amaranatha Atla, Govindaiah Simuni","the role of ai and machine learning in optimizing cloud migration processes (march 14, 2023)",,,Govindaiah Simuni,"['no_tags', 'no_publication_date']"
922,Bank of America,/citations?view_op=view_citation&hl=en&user=u9TQv54AAAAJ&sortby=pubdate&citation_for_view=u9TQv54AAAAJ:_kc_bZDykSQC,"Sumana Sree Maruthu, Govindaiah Simuni","predicting personality traits through self-introductory messages using ai (september 14, 2022)",,,Govindaiah Simuni,"['no_tags', 'no_publication_date']"
923,Bank of America,/citations?view_op=view_citation&hl=en&user=u9TQv54AAAAJ&sortby=pubdate&citation_for_view=u9TQv54AAAAJ:qxL8FJ1GzNcC,"Pavan Konakalla, Govindaiah Simuni","security and privacy concerns in generative ai (january03, 2024)",,,Govindaiah Simuni,"['no_tags', 'no_publication_date']"
924,TD Bank,/citations?view_op=view_citation&hl=en&user=1SoTV7oAAAAJ&sortby=pubdate&citation_for_view=1SoTV7oAAAAJ:qjMakFHDy7sC,"Antoni Kowalczuk, Jan Dubiński, Atiyeh Ashari Ghomi, Yi Sui, George Stein, Jiapeng Wu, Jesse C Cresswell, Franziska Boenisch, Adam Dziedzic",robust self-supervised learning across diverse downstream tasks,"Large-scale vision models have become integral in many applications due to their unprecedented performance and versatility across downstream tasks. However, the robustness of these foundation models has primarily been explored for a single task, namely image classification. The vulnerability of other common vision tasks, such as semantic segmentation and depth estimation, remains largely unknown. We present a comprehensive empirical evaluation of the adversarial robustness of self-supervised vision encoders across multiple downstream tasks. Our attacks operate in the encoder embedding space and at the downstream task output level. In both cases, current state-of-the-art adversarial fine-tuning techniques tested only for classification significantly degrade clean and robust performance on other tasks. Since the purpose of a foundation model is to cater to multiple applications at once, our findings reveal the need to enhance encoder robustness more broadly. We discuss potential strategies for more robust foundation vision models across diverse downstream tasks.",,Atiyeh Ashari Ghomi,['no_publication_date']
928,TD Bank,/citations?view_op=view_citation&hl=en&user=1qyglnQAAAAJ&sortby=pubdate&citation_for_view=1qyglnQAAAAJ:0EnyYjriUFMC,"Alex Labach, Aslesha Pokhrel, Seung Eun Yi, Saba Zuberi, Maksims Volkovs, Rahul G Krishnan",effective self-supervised transformers for sparse time series data,"Electronic health records (EHRs) typically contain a wide range of time series data that is characterized by high sparsity and irregular observations. Self-supervised Transformer architectures have shown outstanding performance in a variety of structured tasks in natural language processing and computer vision. However, their use in modelling sparse irregular time series with tabular data has not been widely explored. One of the major challenges is the quadratic scaling of self-attention layers that can significantly limit the input sequence length. In this work, we introduce TESS, Transformers for EHR data with Self Supervised learning, a self-supervised Transformer-based architecture designed to extract robust representations from EHR data. We propose an input binning scheme that aggregates the time series inputs and sparsity information into a regular sequence with fixed length, enabling the training of larger and deeper Transformers. We demonstrate that significant compression of EHR input data is possible without sacrificing useful information, likely due to the highly correlated nature of observations in small time bins. We then introduce self-supervised prediction tasks that provide rich and informative signals for model pre-training. TESS outperforms state-of-the-art deep learning models on multiple downstream tasks from the MIMIC-IV and PhysioNet-2012 EHR datasets.",,Saba Zuberi,['no_publication_date']
929,TD Bank,/citations?view_op=view_citation&hl=en&user=1qyglnQAAAAJ&sortby=pubdate&citation_for_view=1qyglnQAAAAJ:QIV2ME_5wuYC,"Yenson Lau, Jahir M Gutierrez, Maksims Volkovs, Saba Zuberi",drug repurposing for leishmaniasis with hyperbolic graph neural networks,"Leishmanisis, a neglected tropical disease caused by protozoan parasites of the genus Leishmania, affects millions of individuals living in poverty across the world and is second to malaria in parasitic causes of death. Although current drugs for treating leishmaniasis exist, these are either highly toxic, ineffective, or expensive. For this reason, there is an urgent need to identify affordable, safer, and more effective treatments. Drug repurposing is a promising method for identifying existing molecules with the potential to treat leishmaniasis. Here, we present a deep learning model for drug repurposing based on hyperbolic graph neural networks. We leverage experimentally validated protein-drug interactions and molecular descriptors across three different parasites to train and validate our model. The final network model shows significant gains over the best baseline model, with an 11.6% increase in precision of the top scoring 0.5% protein-drug pairs. Finally, our model identified two experimental drugs that could target three L. major proteins involved in drug resistance and cell cycle regulation, which play an essential role in ensuring the parasite’s survival inside the host.Author summaryLeishmanisis is a deadly and neglected tropical disease. Current treatments are ineffective, highly toxic, and unaffordable for the majority of affected individuals who live in extreme poverty. To accelerate the discovery and development of novel treatments against this disease, we develop a model that proposes existing drugs with the potential to treat leishmaniasis. Our methodology is based on hyperbolic graph neural networks, a class of deep learning models that …",['excluded_keywords'],Saba Zuberi,['excluded_tags']
930,TD Bank,/citations?view_op=view_citation&hl=en&user=7CwOlvoAAAAJ&sortby=pubdate&citation_for_view=7CwOlvoAAAAJ:-f6ydRqryjwC,"Antoni Kowalczuk, Jan Dubiński, Atiyeh Ashari Ghomi, Yi Sui, George Stein, Jiapeng Wu, Jesse C Cresswell, Franziska Boenisch, Adam Dziedzic",benchmarking robust self-supervised learning across diverse downstream tasks,"Large-scale vision models have become integral in many applications due to their unprecedented performance and versatility across downstream tasks. However, the robustness of these foundation models has primarily been explored for a single task, namely image classification. The vulnerability of other common vision tasks, such as semantic segmentation and depth estimation, remains largely unknown. We present a comprehensive empirical evaluation of the adversarial robustness of self-supervised vision encoders across multiple downstream tasks. Our attacks operate in the encoder embedding space and at the downstream task output level. In both cases, current state-of-the-art adversarial fine-tuning techniques tested only for classification significantly degrade clean and robust performance on other tasks. Since the purpose of a foundation model is to cater to multiple applications at once, our findings reveal the need to enhance encoder robustness more broadly. We discuss potential strategies for more robust foundation vision models across diverse downstream tasks.",,Jesse C. Cresswell,['no_publication_date']
934,TD Bank,/citations?view_op=view_citation&hl=en&user=7CwOlvoAAAAJ&sortby=pubdate&citation_for_view=7CwOlvoAAAAJ:JV2RwH3_ST0C,"JC Cresswell, B Leigh Ross, G Loaiza-Ganem, H Reyes-Gonzalez, M Letizia, AL Caterini","caloman: fast generation of calorimeter showers with density estimation on learned manifolds,(arxiv preprint) doi: 10.48550",,,Jesse C. Cresswell,"['no_tags', 'no_publication_date']"
935,TD Bank,/citations?view_op=view_citation&hl=en&user=7CwOlvoAAAAJ&sortby=pubdate&citation_for_view=7CwOlvoAAAAJ:R3hNpaxXUhUC,Jesse Cresswell,privacy enhancing technologies,"Vector - PET for Gigapixel Medical Images Page 1 Privacy Enhancing Technologies for 
Gigapixel Medical Image Analysis Jesse Cresswell, PhD Senior Machine Learning Scientist 
Layer 6 AI at TD Mar. 17 2022 - Endless Summer School: Healthcare Roundup - Vector Institute 
1 Page 2 Agenda ● Obstacles with Medical Data ● Privacy Enhancing Technologies ● 
Gigapixel Image Analysis ● Decentralized Private Learning 2 Page 3 Obstacles with Medical 
Data 3 Page 4 4 Obstacles An individual’s right to privacy is of utmost importance with medical 
data. Privacy laws and regulations have hindered the development of ML in this space by 
limiting access to data. ML advances occur with the release of large, diverse datasets. But the 
healthcare data available to institutions is often ● Small scale ● Restricted to a single source 
(not multi-centric) ● Specialized (not diverse) ● Unlabeled (not annotated with regions of …",,Jesse C. Cresswell,['no_publication_date']
936,TD Bank,/citations?view_op=view_citation&hl=en&user=7CwOlvoAAAAJ&sortby=pubdate&citation_for_view=7CwOlvoAAAAJ:TQgYirikUcIC,"Hamidreza Kamkari, Brendan Leigh Ross, Rasa Hosseinzadeh, Jesse C Cresswell, Gabriel Loaiza-Ganem",differentiable local intrinsic dimension estimation with diffusion models,"High-dimensional data commonly lies on low-dimensional submanifolds, and estimating the local intrinsic dimension (LID) of a datum is a longstanding problem. LID can be understood as the number of local factors of variation: the more factors of variation a datum has, the more complex it tends to be. Estimating this quantity has proven useful in contexts ranging from generalization in neural networks to detection of out-of-distribution data, adversarial examples, and AI-generated text. While many estimation techniques exist, they are all either inaccurate or do not scale. In this work, we show that the Fokker-Planck equation associated with a diffusion model can provide the first LID estimator which scales to high dimensional data while outperforming existing baselines on LID estimation benchmarks.",,Jesse C. Cresswell,['no_publication_date']
937,TD Bank,/citations?view_op=view_citation&hl=en&user=7CwOlvoAAAAJ&sortby=pubdate&citation_for_view=7CwOlvoAAAAJ:mB3voiENLucC,"Jesse C Cresswell, Taewoo Kim",scaling up diffusion and flow-based xgboost models,"Novel machine learning methods for tabular data generation are often developed on small datasets which do not match the scale required for scientific applications. We investigate a recent proposal to use XGBoost as the function approximator in diffusion and flow-matching models on tabular data, which proved to be extremely memory intensive, even on tiny datasets. In this work, we conduct a critical analysis of the existing implementation from an engineering perspective, and show that these limitations are not fundamental to the method; with better implementation it can be scaled to datasets 370x larger than previously used. We also propose algorithmic improvements that can further benefit resource usage and model performance, including multi-output trees which are well-suited to generative modeling. Finally, we present results on large-scale scientific datasets derived from experimental particle physics as part of the Fast Calorimeter Simulation Challenge.",,Jesse C. Cresswell,['no_publication_date']
939,TD Bank,/citations?view_op=view_citation&hl=en&user=7CwOlvoAAAAJ&sortby=pubdate&citation_for_view=7CwOlvoAAAAJ:qUcmZB5y_30C,"Hamidreza Kamkari, Brendan Leigh Ross, Rasa Hosseinzadeh, Jesse C Cresswell, Gabriel Loaiza-Ganem",scalable local intrinsic dimension estimation with diffusion models,"High-dimensional data commonly lies on low-dimensional submanifolds, and estimating the local intrinsic dimension (LID) of a datum is a longstanding problem. LID can be understood as the number of local factors of variation: the more factors of variation a datum has, the more complex it tends to be. Estimating this quantity has proven useful in contexts ranging from generalization in neural networks to detection of out-of-distribution data, adversarial examples, and AI-generated text. While many estimation techniques exist, they are all either inaccurate or do not scale. In this work, we show that the Fokker-Planck equation associated with a diffusion model can provide the first LID estimator which scales to high dimensional data while outperforming existing baselines on LID estimation benchmarks.",,Jesse C. Cresswell,['no_publication_date']
940,TD Bank,/citations?view_op=view_citation&hl=en&user=I9-4b2oAAAAJ&sortby=pubdate&citation_for_view=I9-4b2oAAAAJ:-f6ydRqryjwC,"Antoni Kowalczuk, Jan Dubiński, Atiyeh Ashari Ghomi, Yi Sui, George Stein, Jiapeng Wu, Jesse C Cresswell, Franziska Boenisch, Adam Dziedzic",benchmarking robust self-supervised learning across diverse downstream tasks,"Large-scale vision models have become integral in many applications due to their unprecedented performance and versatility across downstream tasks. However, the robustness of these foundation models has primarily been explored for a single task, namely image classification. The vulnerability of other common vision tasks, such as semantic segmentation and depth estimation, remains largely unknown. We present a comprehensive empirical evaluation of the adversarial robustness of self-supervised vision encoders across multiple downstream tasks. Our attacks operate in the encoder embedding space and at the downstream task output level. In both cases, current state-of-the-art adversarial fine-tuning techniques tested only for classification significantly degrade clean and robust performance on other tasks. Since the purpose of a foundation model is to cater to multiple applications at once, our findings reveal the need to enhance encoder robustness more broadly. We discuss potential strategies for more robust foundation vision models across diverse downstream tasks.",,George Stein,['no_publication_date']
944,TD Bank,/citations?view_op=view_citation&hl=en&user=JhM4w0oAAAAJ&sortby=pubdate&citation_for_view=JhM4w0oAAAAJ:9yKSN-GCB0IC,"Keyvan Golestan, Masoud Asadpour, Hadi Moradi",a new graph signature calculation method based on power centrality for modular robots," Graph signature is a fast isomorphism test that is used in self reconfiguration planning of modular robots. In case of dealing with homomorphic modules, the required time to calculate the signature grows exponentially with the number of symmetry lines. We tackle this problem by introducing an isomorphism- invariant signature calculation method, which is based on the power centrality of nodes. We also introduce a new sample-based search method. Simulation results show the new method finds better solutions in a significantly shorter time.",,Keyvan Golestan,['no_tags']
945,TD Bank,/citations?view_op=view_citation&hl=en&user=KgyysRoAAAAJ&sortby=pubdate&citation_for_view=KgyysRoAAAAJ:u-x6o8ySG0sC,"Mathieu Ravaut, Satya Krishna Gorti",faster gradient descent via an adaptive learning rate,"Any gradient descent requires to choose a learning rate. With deeper and deeper models, tuning that learning rate can easily become tedious and does not necesarily lead to an ideal convergence. We propose a variation of the gradient descent algorithm in the which the learning rate 7 is not fixed. Instead, we learn 7 itself, either by another gradient descent (first-order method), or by Newton’s method (second-order). This way, gradient descent for any machine learning algorithm can be optimized.",,Satya Krishna Gorti,['no_publication_date']
946,TD Bank,/citations?view_op=view_citation&hl=en&user=TyY1aSYAAAAJ&sortby=pubdate&citation_for_view=TyY1aSYAAAAJ:mVmsd5A6BfQC,,"caloman: fast generation of calorimeter showers with density estimation on learned manifolds, in the proceedings of the 36th conference on neural information processing systems",,,Brendan Leigh Ross,"['no_tags', 'no_authors', 'no_publication_date']"
947,TD Bank,/citations?view_op=view_citation&hl=en&user=X7oyRLIAAAAJ&sortby=pubdate&citation_for_view=X7oyRLIAAAAJ:9yKSN-GCB0IC,"Cheng Chang, Chundi Liu, Guangwei Yu, Maksims Volkovs",iterative delf query expansion,"Modified Maximum Spanning Tree Clustering for Large-Scale Image Retrieval Page 1 
Architecture Motivation Challenges: - Retrieve all the images depicting the same landmark 
regardless of visual similarity. - Ranking is necessary for the MAP metric. Motivation Iterative 
DELF Query Expansion Put images with the same landmark closer to the approximated centers 
of the landmark clusters iteratively. - Involve local descriptors and geometric verification. - Test 
images can be used as additional bridging. BE F O RE AF T E R - Solves the problem: as long 
as there is a bridging image, visually not similar images can be connected. - Ranking is 
accomplished since we are adding the most confident image at a time. Results Conclusion 
References [1] Noh H et al. Large-Scale Image Retrieval with Attentive Deep Local Features. 
Proc. ICCV 2017. [2] Gordo A et al. Deep Image Retrieval: Learning Global Representations for …",,Cheng Chang,['no_publication_date']
948,TD Bank,/citations?view_op=view_citation&hl=en&user=fLo2o54AAAAJ&sortby=pubdate&citation_for_view=fLo2o54AAAAJ:zYLM7Y9cAGgC,"Antoni Kowalczuk, Jan Dubiński, Atiyeh Ashari Ghomi, Yi Sui, George Stein, Jiapeng Wu, Jesse C Cresswell, Franziska Boenisch, Adam Dziedzic",robust self-supervised learning across diverse downstream tasks,"Large-scale vision models have become integral in many applications due to their unprecedented performance and versatility across downstream tasks. However, the robustness of these foundation models has primarily been explored for a single task, namely image classification. The vulnerability of other common vision tasks, such as semantic segmentation and depth estimation, remains largely unknown. We present a comprehensive empirical evaluation of the adversarial robustness of self-supervised vision encoders across multiple downstream tasks. Our attacks operate in the encoder embedding space and at the downstream task output level. In both cases, current state-of-the-art adversarial fine-tuning techniques tested only for classification significantly degrade clean and robust performance on other tasks. Since the purpose of a foundation model is to cater to multiple applications at once, our findings reveal the need to enhance encoder robustness more broadly. We discuss potential strategies for more robust foundation vision models across diverse downstream tasks.",,Yi Sui,['no_publication_date']
952,TD Bank,/citations?view_op=view_citation&hl=en&user=lUAFQsgAAAAJ&sortby=pubdate&citation_for_view=lUAFQsgAAAAJ:hC7cP41nSMkC,"E Gordon-Rodriguez, G Loaiza-Ganem, JP Cunningham",on a novel probability distribution for zero-laden compositional data,"Recent advances in probabilistic machine learning have given rise to a new family of distributions on the simplex. This distribution, termed the continuous categorical, bears similarities with the Dirichlet in that it defines an exponential family with a particularly simple closed-form density. However, unlike the Dirichlet (or any log-ratio based method), the continuous categorical log-likelihood function is well defined even in the presence of zero-valued components, making this distribution a valid likelihood model for zero-laden compositional data without requiring imputation of the zeros. In this abstract, we review the key properties of our novel distribution and we present an application where it can be used for dimensionality reduction of compositional data. We also highlight some underexplored connections between the fields of machine learning and compositional data analysis, to which our novel distribution is closely related.",,Gabriel Loaiza-Ganem,['no_publication_date']
953,TD Bank,/citations?view_op=view_citation&hl=en&user=m9I8jgcAAAAJ&sortby=pubdate&citation_for_view=m9I8jgcAAAAJ:_xSYboBqXhAC,"Yenson Lau, Jahir M Gutierrez, Maksims Volkovs, Saba Zuberi",drug repurposing for leishmaniasis with hyperbolic graph neural networks,"Leishmanisis, a neglected tropical disease caused by protozoan parasites of the genus Leishmania, affects millions of individuals living in poverty across the world and is second to malaria in parasitic causes of death. Although current drugs for treating leishmaniasis exist, these are either highly toxic, ineffective, or expensive. For this reason, there is an urgent need to identify affordable, safer, and more effective treatments. Drug repurposing is a promising method for identifying existing molecules with the potential to treat leishmaniasis. Here, we present a deep learning model for drug repurposing based on hyperbolic graph neural networks. We leverage experimentally validated protein-drug interactions and molecular descriptors across three different parasites to train and validate our model. The final network model shows significant gains over the best baseline model, with an 11.6% increase in precision of the top scoring 0.5% protein-drug pairs. Finally, our model identified two experimental drugs that could target three L. major proteins involved in drug resistance and cell cycle regulation, which play an essential role in ensuring the parasite’s survival inside the host.Author summaryLeishmanisis is a deadly and neglected tropical disease. Current treatments are ineffective, highly toxic, and unaffordable for the majority of affected individuals who live in extreme poverty. To accelerate the discovery and development of novel treatments against this disease, we develop a model that proposes existing drugs with the potential to treat leishmaniasis. Our methodology is based on hyperbolic graph neural networks, a class of deep learning models that …",['excluded_keywords'],Maksims Volkovs,['excluded_tags']
